,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Preshool Age Children-130540,,,1,,
,,Radio and Television-060400,18,40,,,
,,Technical Theater-100600,2,2,5,14,
,,Television (including combined TV/Film/Video)-060420,1,,,,
,,Website Design and Development-061430,1,1,1,3,
,Certificate requiring 8 to fewer than 16 semester units      Total,,,20,279,373,
,,Accounting-050200,,,15,50,
,,Applied Photography-101200,,4,5,8,
,,"Biology, General-040100",,,1,,
,,Biotechnology and Biomedical Technology-043000,,,7,20,
,,Child Development/Early Care and Education-130500,,,83,82,
,,Computer Information Systems-070200,,1,1,,
,,Computer Infrastructure and Support-070800,,2,34,55,
,,Computer Networking-070810,,,23,30,
,,Digital Media-061400,,,2,4,
,,Emergency Medical Services-125000,,11,30,22,
,,"Engineering Technology, General (requires Trigonometry)-092400",,,18,20,
,,Graphic Art and Design-103000,,,2,,
,,Optical Technology-121900,,2,,,
,,Public Relations-060600,,,,3,
,,Radio and Television-060400,,,58,75,
,,Tax Studies-050210,,,,2,
,,Television (including combined TV/Film/Video)-060420,,,,2,
,Noncredit award requiring from 96 to < 144 hours             Total,,2,2,,,
,,English as a Second Language - Integrated-493087,2,2,,,
,Noncredit award requiring from 48 to < 96 hours              Total,,,,4,6,
,,English as a Second Language - Integrated-493087,,,,6,
,,Graphic Art and Design-103000,,,4,,
,Noncredit award requiring < 48 hours                         Total,,15,3,,,
,,Mathematics Skills-170200,15,3,,,
