,,,Annual 2021-2022,Annual 2022-2023,Annual 2023-2024,Annual 2024-2025,Annual 2025-2026
,,Logistics and Materials Transportation-051000,1,2,,,
,,Machining and Machine Tools-095630,2,,,,
,,Management Development and Supervision-050630,1,5,,,
,,Marketing and Distribution-050900,1,1,,,
,,Mass Communications-061000,4,,,,
,,Medical Office Technology-051420,17,18,,,
,,Nursery Technology-010930,,2,,,
,,Office Technology/Office Computer Applications-051400,10,9,,,
,,Real Estate-051100,9,9,,,
,,Retail Store Operations and Management-050650,,1,,,
,,Sign Language-085000,2,,,,
,,Small Business and Entrepreneurship-050640,2,6,,,
,,Speech/Language Pathology and Audiology-122000,,16,,,
,,Tax Studies-050210,4,7,,,
,,Transfer Studies-490110,1,1,,,
,,Welding Technology-095650,29,29,,,
,Certificate requiring 16 to fewer than 30 semester units     Total,,278,299,741,729,
,,Accounting-050200,11,12,26,27,
,,Administration of Justice-210500,,,4,5,
,,Agricultural Power Equipment Technology-011600,,,1,1,
,,"Agriculture Business, Sales and Service-011200",,,,1,
,,Alcohol and Controlled Substances-210440,,,11,10,
,,Applied Photography-101200,,,2,,
,,Architecture and Architectural Technology-020100,,,3,1,
,,Automotive Collision Repair-094900,1,2,2,12,
,,Automotive Technology-094800,15,50,88,81,
,,"Business and Commerce, General-050100",,,25,22,
,,Child Development Administration and Management-130580,4,4,,3,
,,Child Development/Early Care and Education-130500,1,8,58,77,
,,Computer Information Systems-070200,,,1,,
,,Computer Networking-070810,,,17,18,
,,Computer Programming-070710,,1,2,4,
,,Corrections-210510,,,2,4,
,,Culinary Arts-130630,,,6,11,
,,Diesel Technology-094700,7,8,8,16,
,,Digital Media-061400,,6,16,15,
,,Drafting Technology-095300,,,9,6,
,,Educational Aide (Teacher Assistant)-080200,,,3,1,
,,Electrical-095220,45,11,53,39,
,,Electro-Mechanical Technology-093500,2,2,1,,
,,Electron Microscopy-093470,5,3,3,,
,,Electronics and Electric Technology-093400,,,2,,
,,"Engineering, General (requires Calculus) (Transfer)-090100",1,5,3,3,
,,English as a Second Language - Integrated-493087,,,,1,
,,Environmental Control Technology-094600,12,5,13,6,
,,Fashion Design-130310,,2,,2,
,,Fashion Merchandising-130320,1,1,1,,
,,Fashion Production-130330,,,1,1,
,,Fitness Trainer-083520,,,3,,
,,Graphic Art and Design-103000,2,3,2,1,
,,Heavy Equipment Maintenance-094720,5,1,60,32,
,,Human Services-210400,8,2,6,4,
,,Industrial Systems Technology and Maintenance-094500,2,1,,2,
,,"Information Technology, General-070100",,3,1,,
,,Interior Design and Merchandising-130200,,,1,,
,,International Business and Trade-050800,,,,1,
,,Landscape Design and Maintenance-010910,1,1,1,2,
,,"Law, General-140100",,,26,32,
,,Logistics and Materials Transportation-051000,,,2,3,
,,Machining and Machine Tools-095630,,,2,,
,,Management Development and Supervision-050630,,,6,7,
,,Marketing and Distribution-050900,,,2,2,
,,Mass Communications-061000,,,1,4,
,,Mechanical Drafting-095340,6,4,2,2,
,,Medical Office Technology-051420,,,27,20,
,,Multimedia-061410,,,1,,
,,Nursery Technology-010930,1,,,1,
,,Office Management-051440,1,3,8,8,
,,Office Technology/Office Computer Applications-051400,5,6,28,17,
,,Other Business and Management-059900,1,1,,2,
,,Paralegal-140200,,2,1,11,
,,Police Academy-210550,41,44,6,2,
,,Psychiatric Technician-123900,36,34,17,29,
,,Radiologic Technology-122500,3,3,1,,
,,Real Estate-051100,,,42,47,
,,Retail Store Operations and Management-050650,,,1,1,
,,Sign Language-085000,,,3,1,
,,Small Business and Entrepreneurship-050640,,,7,2,
,,Software Applications-070210,,1,,,
,,Speech/Language Pathology and Audiology-122000,,,15,21,
,,Tax Studies-050210,,,16,8,
,,Technical Theater-100600,,,2,,
,,Transfer Studies-490110,54,60,59,77,
,,Welding Technology-095650,7,10,31,23,
